NGEN,NO,ind,fitness,theta
0,0,"Positive(XOR1(x1, x2))","(0.4494784153036066, 4)","[0.18347132175650782, 1.5408978087987797]"
0,1,"Positive(ANDN(x1, x2))","(0.45190151629491576, 4)","[0.4956669405111396, 1.5206221266562843]"
0,2,"NAND(XNOR(x2, x1), x1)","(0.4491190851290022, 5)","[0.6093503480966953, 1.7132813557428448]"
0,3,"ORN1(x2, x1)","(0.44855599726750334, 3)",[0.39928810891642996]
0,4,"NAND(NAND(x1, x2), NOR1(x1, x1))","(0.4517129040795556, 7)","[0.935434988795363, 0.6800114369569157, 1.1585932345211842]"
0,5,"XNOR(x1, x2)","(0.4487491894081285, 3)",[1.96229251931635]
0,6,"XNOR(NAND(x2, x1), ANDN(x2, x1))","(0.4491143477053444, 7)","[1.3912666874143218, 1.9004286190936406, 0.9337559777940874]"
0,7,"NOR1(XNOR(x1, x2), x1)","(0.4489267218418276, 5)","[0.9221129603286631, 1.053583909212807]"
0,8,"ORN1(ANDN(x2, x2), XOR1(x1, x1))","(0.44848024917682305, 7)","[1.6170171869615055, 0.7997373225865363, 1.9042349068718818]"
0,9,"NOR1(XNOR(x1, x2), AND1(x2, x1))","(0.44986387477770584, 7)","[0.43207956162160266, 1.4087821208182336, 0.5716143555042976]"
0,10,"NOR1(Positive(x1), AND1(x2, x2))","(0.44989971684080043, 6)","[0.8932826047533162, 0.36972581398109905, 1.472781685649128]"
0,11,"XOR1(AND1(x1, x2), AND1(x2, x1))","(0.45054931703449186, 7)","[0.6425438746425454, 1.6388474064129843, 0.5964624052026141]"
0,12,"NAND(x1, x2)","(0.4518275500381843, 3)",[1.352501654375141]
0,13,"Positive(ORN1(x2, x1))","(0.45089779774592564, 4)","[0.3171557768964157, 1.2640660694801766]"
0,14,"NOR1(x2, x1)","(0.45055127385338173, 3)",[1.6938951912831723]
0,15,"NAND(XNOR(x1, x2), XOR1(x2, x2))","(0.44939295263157586, 7)","[0.5995121807499114, 1.3992027269847231, 0.9278682371914888]"
0,16,"NOR1(x2, XNOR(x1, x2))","(0.4608205134396926, 5)","[1.7740019544131065, 0.10143244352828362]"
0,17,"ANDN(ANDN(x1, x1), XOR1(x1, x2))","(0.4486462055600836, 7)","[0.6250070777942527, 1.76953188081056, 1.566045366219871]"
0,18,"XNOR(Negative(x2), NOR1(x1, x2))","(0.451471511391694, 6)","[1.225210680791513, 0.4061844334279907, 1.4874782754639235]"
0,19,"NAND(x1, AND1(x2, x1))","(0.4497418401576933, 5)","[1.775222026337518, 0.07621130292576583]"
